0.375,8.4,而家我就會經短訊呀發送一個重要嘅資訊佢返你頭先都提及過嗰個手提電話號碼勁㗎咁快送嘅號碼啦最後六個數字呢會係007615,,
10.275,10.725,開番個正,,
12.3,13.2,確認就可以㗎啦,,
14.325,44.925,方唔方便上網,,
55.425,65.4,中短訊係同時都同你講番啲重要嘅情況畀你聽返啦係啦咁同埋啦咁跟住落嚟講嗰條款細則啦咁如果你係有啲咩唔明白嘅地方都可以隨時搵返我嘅,,
67.575,70.875,咁樣先生請問你今次申請貸款嘅用途係專唔係做啲咩㗎啦,,
74.625,79.35,咁你都提醒一下啦佢申請貸款之前請先考慮清楚財政狀況啦同埋還款能力嘅,,
80.4,104.025,咁你今次申請萬應錢過銀碼都係242000啦咁供款期數24期每月平息零點二三年都係五點三五個月供款額10000640蚊全期總利息一萬三千三百五十八蚊四毫中環本金額係二十五萬五千三百六十蚊每月平均利息係五百五十六蚊咁然每月每日嘅利息啦而家二三四個計算呢就大概十八蚊五毫六,,
108.975,160.5,個心口啦咁㗎如覆核咗嘅銀碼係冇問題㗎喎你要整體客太多會直接存入返指定嘅匯豐戶口但我哋就唔會再有聯絡電話通知你㗎啦咁我哋呢就會寄張覆確認信咁清楚你名單已批核嘅貸款額啦同埋一啲詳細嘅內容同埋第一期還款嘅日期咁樣嘅話每日期可以做為上面嗰邊顯示返咁樣係啦咁相信阿梁先生都睇咗同埋同意今次呢個計唔計劃嘅優惠啦同埋daddy內容嗎感牙推廣條款細則銀行貸款嘅張條款呀同埋產品資料概要同埋一啲關於個人資料私隱條例通知㗎啦咁你同意銀行可以根據呢個通知嘅用途啦用返同埋披露你嘅個人資料並明白就上述所有嘅條款同埋細則約束嘅有關於個人資料私隱條例嘅通知你可以透過匯豐網頁左下角預報返嗰邊瀏覽得到㗎,,
173.475,188.85,你打開返個短訊呀撳返文件畀到呢個接受就有冇撳到呢,,
189.9,190.5,底部嗰度呢,,
198.45,200.1,琴日阿英咁早係咪呀,,
201.6,202.35,你嚟睇下睇,,
203.775,204.3,情況收到唔,,
211.8,212.1,該曬,,
217.125,226.05,咁我哋都收到你個確認回覆阿姨你將會收到個短訊呀確認返你影住續同埋接受有關嘅條款同細則你亦都可以下載同埋儲存你啱啱確認咗條款文件啦,,
231.075,260.175,如果你想提早上還全數嘅貸款嘅話我哋會借款本金餘額同埋本金子劍嘅兩個percent嘅款項如果你未能奇上環傳送會還款嘅話呢我哋將會收取每次港幣400蚊嘅預期還款同埋按任何預期未還嘅每月還款額收取返一個利息利息為月息2.25厘嘅咁我哋都會參考反對內同埋對外嘅信貸資料作為最後的審批請問以上所講嘅嘢資料呢係咁涼先係咪都清楚明白同意,,
269.7,274.2,本金餘額啦同埋如果你仲有幾點過得本金結欠嘅兩個percent嘅手續費,,
276.525,276.6,同埋,,
278.4,284.475,預期嘅話你都會收返四百蚊港幣手續費你係佢自動,,
285.675,287.925,還款戶口畀佢扣返個數,,
289.2,290.625,清楚明白同而家可能先生,,
293.1,296.85,或者係咪都同意或者再同意同埋清楚明白都係,,